ID,Gender,Has a car,Has a property,Children count,Income,Employment status,Education level,Marital status,Dwelling,Age,Employment length,Has a mobile phone,Has a work phone,Has a phone,Has an email,Job title,Family member count,Account age,Is high risk
5029401,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19125,365243,1,0,0,0,,2.0,-52.0,0
5111157,F,Y,Y,1,81000.0,Working,Higher education,Married,House / apartment,-10648,-1393,1,1,1,0,Core staff,3.0,-42.0,0
5048458,F,Y,Y,1,126000.0,Working,Higher education,Married,House / apartment,-9441,-157,1,0,0,0,,3.0,-31.0,0
5092275,F,N,Y,0,360000.0,Working,Secondary / secondary special,Married,House / apartment,-15552,-5587,1,1,1,0,Laborers,2.0,-58.0,0
5090131,F,Y,Y,0,225000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-10851,-164,1,1,1,0,Sales staff,2.0,-22.0,0
5065444,F,Y,N,2,270000.0,Working,Secondary / secondary special,Married,With parents,-13258,-2300,1,0,0,0,Managers,4.0,-30.0,0
5087881,F,N,N,0,234000.0,State servant,Higher education,Civil marriage,House / apartment,-21967,-5215,1,0,0,1,Core staff,2.0,-50.0,0
5045654,F,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-14854,-2452,1,0,1,0,,2.0,-6.0,0
5112850,F,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-12172,-1681,1,0,0,1,Managers,2.0,-22.0,0
5058365,F,N,Y,0,108000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21476,365243,1,0,0,0,,1.0,-9.0,0
5058521,F,N,Y,0,405000.0,Commercial associate,Secondary / secondary special,Married,With parents,-14585,-3400,1,1,1,0,Laborers,2.0,-55.0,0
5062211,F,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-17472,-1202,1,1,1,0,,2.0,-12.0,0
5021462,F,Y,N,1,225000.0,Working,Higher education,Civil marriage,House / apartment,-11501,-735,1,0,0,0,Core staff,3.0,-14.0,0
5132564,F,N,Y,1,112500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-14934,-1350,1,0,1,0,Sales staff,3.0,-16.0,0
5053466,M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-18516,-2129,1,1,1,0,Low-skill Laborers,2.0,-40.0,0
5010892,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23758,365243,1,0,0,1,,2.0,-18.0,0
5116999,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21591,365243,1,0,0,1,,2.0,-28.0,0
5089674,F,Y,N,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-13135,-3657,1,1,1,0,High skill tech staff,4.0,-15.0,0
5112881,F,N,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21902,365243,1,0,0,1,,2.0,-2.0,0
5095637,F,N,N,0,128542.5,Commercial associate,Higher education,Single / not married,Rented apartment,-9351,-370,1,1,0,1,Sales staff,1.0,-26.0,0
5024635,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-19922,-1128,1,0,0,0,,2.0,-29.0,0
5095562,F,N,N,1,540000.0,Working,Secondary / secondary special,Separated,House / apartment,-16409,-2045,1,1,0,0,Managers,2.0,-60.0,0
5067699,M,Y,Y,0,450000.0,Working,Higher education,Married,House / apartment,-19087,-4434,1,0,1,0,Managers,2.0,-11.0,0
5148828,F,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14357,-3120,1,1,1,0,Sales staff,3.0,-56.0,0
5139950,F,Y,Y,0,121500.0,State servant,Secondary / secondary special,Married,House / apartment,-19988,-3231,1,1,0,0,,2.0,-36.0,0
5113403,M,Y,Y,0,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10837,-588,1,0,0,1,Sales staff,1.0,-8.0,0
5048554,M,Y,Y,1,405000.0,Working,Higher education,Married,House / apartment,-10530,-2165,1,0,0,0,High skill tech staff,3.0,-25.0,0
5105011,M,Y,Y,1,216000.0,Working,Secondary / secondary special,Married,Rented apartment,-17051,-1457,1,0,0,0,Laborers,3.0,-42.0,0
5100222,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-17673,-6579,1,0,0,0,,2.0,-35.0,0
5135710,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22611,365243,1,0,1,0,,1.0,-51.0,0
5053922,M,N,N,1,202500.0,Working,Lower secondary,Civil marriage,House / apartment,-14454,-1064,1,1,1,0,Drivers,3.0,-30.0,0
5041212,F,N,Y,0,180000.0,Working,Higher education,Widow,House / apartment,-23035,-2134,1,0,0,0,Secretaries,1.0,-8.0,0
5135450,F,N,Y,1,225000.0,Working,Secondary / secondary special,Married,With parents,-10035,-170,1,0,0,0,Cleaning staff,3.0,-2.0,0
5136908,M,N,N,1,360000.0,Working,Secondary / secondary special,Married,House / apartment,-15244,-2908,1,1,0,1,Managers,3.0,-14.0,0
5091529,F,N,Y,1,211500.0,Working,Higher education,Married,House / apartment,-12442,-2330,1,0,0,0,Core staff,3.0,-9.0,0
5088193,F,Y,N,0,90000.0,Pensioner,Higher education,Widow,House / apartment,-24210,365243,1,0,0,0,,1.0,-49.0,0
5148866,F,N,Y,0,126000.0,Pensioner,Higher education,Married,House / apartment,-21892,365243,1,0,0,0,,2.0,-9.0,0
5125917,F,N,N,0,157500.0,Working,Higher education,Married,House / apartment,-11615,-2936,1,0,0,0,Sales staff,2.0,-22.0,0
5089856,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-23545,365243,1,0,0,0,,1.0,-24.0,0
5053891,F,N,Y,0,90000.0,State servant,Secondary / secondary special,Separated,House / apartment,-14271,-302,1,0,0,0,,1.0,0.0,0
5112601,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-22466,-12870,1,1,1,0,Managers,2.0,-17.0,0
5021309,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16896,-248,1,0,0,0,Laborers,2.0,-3.0,0
5028875,M,N,N,3,126000.0,Working,Secondary / secondary special,Civil marriage,With parents,-12072,-1422,1,0,0,1,,5.0,-45.0,0
5114508,M,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,-9930,-2324,1,0,0,1,Laborers,4.0,-31.0,0
5090289,F,Y,Y,1,315000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20420,365243,1,0,1,0,,3.0,-30.0,0
5140070,F,N,Y,0,450000.0,Commercial associate,Higher education,Married,House / apartment,-16502,-1040,1,0,0,0,,2.0,-11.0,0
5033549,M,Y,N,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12912,-1844,1,0,0,0,,4.0,-25.0,0
5090617,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15202,-674,1,0,0,0,Drivers,4.0,-6.0,0
5033693,F,Y,Y,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19251,-1449,1,0,0,0,Laborers,1.0,-9.0,0
5062548,F,N,Y,3,247500.0,Commercial associate,Incomplete higher,Married,House / apartment,-12099,-2207,1,0,0,1,,5.0,-42.0,0
5115397,M,N,Y,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,-17005,-3267,1,0,0,0,Laborers,4.0,-13.0,0
5023928,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,Rented apartment,-11937,-1889,1,0,0,0,Cooking staff,2.0,-35.0,0
5126840,F,N,N,0,157500.0,Commercial associate,Higher education,Single / not married,Rented apartment,-11785,-1415,1,0,0,0,,1.0,-22.0,0
5106041,M,Y,N,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,-15207,-3201,1,0,0,0,Core staff,4.0,-17.0,0
5021208,M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-13621,-1127,1,0,0,0,Drivers,3.0,-26.0,0
5142501,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-14865,-925,1,0,0,0,,2.0,-20.0,0
5148651,F,Y,Y,1,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15346,-2481,1,0,0,0,Laborers,3.0,-28.0,0
5024887,F,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9950,-427,1,0,0,0,Sales staff,2.0,-48.0,0
5022952,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-18293,-521,1,1,0,0,,2.0,-32.0,0
5008959,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2.0,-15.0,0
5091931,M,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21720,365243,1,0,1,0,,2.0,-3.0,0
5146086,M,N,N,0,148500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-14122,-1193,1,0,0,1,Laborers,1.0,-18.0,0
5079024,F,N,Y,0,135000.0,Pensioner,Lower secondary,Married,House / apartment,-22569,365243,1,0,0,0,,2.0,-20.0,0
5062585,M,N,N,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10054,-571,1,1,1,1,Drivers,3.0,-18.0,0
5143487,M,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11935,-1200,1,0,0,0,Drivers,3.0,-43.0,0
5025188,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-14284,-2192,1,0,0,0,Drivers,1.0,-44.0,0
5035739,F,Y,Y,0,103500.0,State servant,Higher education,Separated,House / apartment,-17138,-8072,1,1,1,0,Core staff,1.0,-29.0,0
5023623,F,N,N,2,180000.0,Commercial associate,Incomplete higher,Married,House / apartment,-13803,-3249,1,0,1,0,Sales staff,4.0,-14.0,0
5022797,F,Y,Y,0,202500.0,Working,Higher education,Widow,House / apartment,-11998,-1497,1,0,0,0,Managers,1.0,-48.0,0
5097051,F,Y,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-13170,-763,1,1,0,0,Core staff,2.0,-16.0,0
5068682,M,N,Y,0,148500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11819,-962,1,0,0,0,Laborers,1.0,-1.0,0
5023988,M,N,Y,0,360000.0,Commercial associate,Higher education,Married,House / apartment,-21135,-2862,1,0,0,0,Laborers,2.0,-42.0,0
5091957,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15491,-504,1,0,0,0,Laborers,2.0,-17.0,0
5079007,M,N,Y,0,202500.0,Commercial associate,Higher education,Married,Municipal apartment,-20845,-847,1,0,0,0,,2.0,-4.0,0
5089557,F,Y,N,0,157500.0,Working,Incomplete higher,Single / not married,House / apartment,-11406,-3078,1,1,0,0,Managers,1.0,-53.0,0
5036722,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24521,365243,1,0,0,0,,2.0,-46.0,0
5010868,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18173,-678,1,0,1,1,Core staff,3.0,-16.0,1
5025253,M,N,Y,0,135000.0,Pensioner,Higher education,Married,House / apartment,-23321,365243,1,0,0,0,,2.0,-41.0,0
5089235,F,N,N,0,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,-19363,-12332,1,0,1,1,Medicine staff,1.0,-37.0,0
5065675,F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11512,-4711,1,0,0,0,,1.0,-5.0,0
5105967,F,Y,N,1,225000.0,Commercial associate,Higher education,Civil marriage,With parents,-9932,-668,1,0,1,1,Accountants,3.0,-53.0,0
5126370,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-13566,-1900,1,1,0,0,High skill tech staff,2.0,-24.0,0
5061237,F,N,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,-21881,365243,1,0,0,0,,2.0,-49.0,0
5100214,M,Y,Y,0,121500.0,Commercial associate,Higher education,Married,House / apartment,-14543,-2105,1,0,0,0,Drivers,2.0,-37.0,0
5090632,F,Y,Y,0,292500.0,Commercial associate,Incomplete higher,Married,House / apartment,-12207,-1898,1,0,0,1,Sales staff,2.0,-21.0,0
5089658,F,N,N,0,99000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-16378,-370,1,1,0,0,Core staff,1.0,-41.0,0
5028945,M,N,Y,0,189000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15111,-5866,1,0,0,0,,2.0,-8.0,0
5021681,M,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-18745,-3653,1,0,0,0,Cleaning staff,1.0,-41.0,0
5053383,M,Y,Y,2,247500.0,Working,Incomplete higher,Married,House / apartment,-13102,-962,1,0,0,0,Drivers,4.0,-24.0,0
5033853,F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-17829,-110,1,0,0,0,High skill tech staff,2.0,-24.0,0
5116039,F,Y,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,-16263,-314,1,0,1,0,High skill tech staff,2.0,-14.0,0
5149162,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-10952,-3577,1,1,0,0,Laborers,2.0,-56.0,0
5132777,M,N,Y,2,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12418,-226,1,1,1,0,Laborers,4.0,-33.0,0
5117695,F,N,N,0,265500.0,State servant,Secondary / secondary special,Separated,House / apartment,-22662,-4206,1,0,0,0,,1.0,-60.0,0
5092031,F,N,Y,2,360000.0,Working,Secondary / secondary special,Separated,House / apartment,-14877,-5099,1,0,0,0,Medicine staff,3.0,-6.0,0
5037116,M,Y,N,2,270000.0,Commercial associate,Higher education,Married,House / apartment,-12566,-3384,1,0,1,0,Core staff,4.0,-23.0,0
5117417,F,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16215,-3567,1,0,0,0,Sales staff,2.0,-10.0,0
5023705,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-17733,-5622,1,0,1,0,Laborers,2.0,-52.0,0
5045588,F,Y,Y,0,153000.0,Working,Secondary / secondary special,Married,House / apartment,-14966,-170,1,0,0,0,,2.0,-41.0,0
5114481,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22731,365243,1,0,0,0,,1.0,-38.0,0
5029512,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18061,-869,1,0,0,0,,2.0,-16.0,0
5050735,F,N,N,0,135000.0,Commercial associate,Higher education,Separated,House / apartment,-11712,-4822,1,0,1,1,HR staff,1.0,-49.0,0
5096397,F,N,N,0,112500.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-14174,-1405,1,1,0,0,Core staff,2.0,-3.0,0
5022955,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-18293,-521,1,1,0,0,,2.0,-11.0,0
5137173,F,N,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-20142,-3760,1,1,1,0,Sales staff,2.0,-25.0,0
5118275,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21363,365243,1,0,0,0,,2.0,-56.0,1
5099747,F,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10112,-3170,1,1,1,0,Laborers,3.0,-10.0,0
5118125,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-11044,-2531,1,0,0,0,,2.0,-24.0,0
5126259,F,N,N,2,72000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12417,-2265,1,1,0,0,Sales staff,4.0,-44.0,0
5010243,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-20145,-1043,1,0,0,0,Laborers,2.0,-33.0,0
5099977,F,N,N,0,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10218,-1740,1,0,1,0,Security staff,2.0,-6.0,0
5023642,M,Y,N,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14776,-2212,1,0,0,0,Drivers,4.0,-9.0,1
5028385,M,Y,N,0,337500.0,Working,Secondary / secondary special,Single / not married,With parents,-11344,-3309,1,0,0,0,Core staff,1.0,-51.0,0
5029151,F,N,N,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-17825,-8410,1,1,1,0,Laborers,2.0,-39.0,0
5010599,F,N,Y,2,90000.0,Working,Higher education,Married,House / apartment,-11864,-4513,1,0,0,0,Drivers,4.0,-6.0,0
5149697,F,N,N,0,157500.0,Working,Incomplete higher,Married,With parents,-13943,-6407,1,0,0,0,Core staff,2.0,-30.0,0
5135783,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-23844,-2147,1,0,1,0,Accountants,2.0,-60.0,0
5145888,F,N,Y,0,72000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22179,365243,1,0,0,0,,2.0,-29.0,0
5045539,M,Y,N,2,225000.0,State servant,Higher education,Married,With parents,-10937,-1539,1,0,0,0,High skill tech staff,4.0,-49.0,0
5042016,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10376,-126,1,0,1,0,Drivers,2.0,-13.0,0
5029789,F,N,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-21215,-808,1,0,0,0,Medicine staff,2.0,-54.0,0
5046003,F,N,Y,1,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15039,-3334,1,0,1,0,Private service staff,2.0,-16.0,0
5125487,M,Y,N,1,135000.0,Working,Higher education,Married,House / apartment,-12782,-1078,1,0,0,0,Laborers,3.0,-46.0,0
5066888,M,Y,Y,2,85500.0,Working,Secondary / secondary special,Married,House / apartment,-14274,-3079,1,0,0,0,,4.0,-7.0,0
5061531,F,N,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14152,-4673,1,0,0,0,,3.0,-25.0,0
5021522,F,N,N,0,202500.0,Working,Higher education,Married,House / apartment,-19271,-4839,1,0,0,1,Core staff,2.0,-53.0,0
5105814,F,N,N,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20116,365243,1,0,1,0,,2.0,-9.0,0
5054041,F,N,N,1,81000.0,Working,Secondary / secondary special,Married,House / apartment,-14290,-1308,1,0,1,0,Cooking staff,3.0,-60.0,0
5096185,F,N,N,0,153000.0,Working,Secondary / secondary special,Married,House / apartment,-14715,-2654,1,1,0,0,Security staff,2.0,-17.0,0
5044621,F,Y,N,1,135000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10130,-1651,1,0,0,0,Accountants,2.0,-37.0,0
5137533,M,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-14854,-3518,1,1,0,0,Drivers,2.0,-29.0,0
5089753,M,N,N,1,99000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17876,-5239,1,0,0,0,Laborers,2.0,-1.0,0
5090707,F,Y,Y,0,270000.0,Working,Higher education,Single / not married,House / apartment,-12151,-186,1,0,0,1,Accountants,1.0,-18.0,0
5137454,M,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18629,365243,1,0,0,0,,2.0,-45.0,0
5091369,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-15366,-1266,1,1,1,0,Drivers,2.0,-38.0,0
5149450,M,Y,Y,0,238500.0,Working,Higher education,Married,With parents,-12187,-2602,1,0,0,0,Laborers,2.0,-4.0,0
5062697,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-14510,-3805,1,0,0,0,Core staff,3.0,-29.0,0
5091244,F,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16279,-1478,1,0,0,0,Medicine staff,2.0,-42.0,0
5024692,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,With parents,-15562,-7824,1,0,1,0,Laborers,2.0,-53.0,0
5029665,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-18401,-2149,1,0,0,0,Laborers,2.0,-36.0,0
5038794,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22742,365243,1,0,0,0,,2.0,-8.0,0
5036408,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13686,-1256,1,0,0,0,Cooking staff,2.0,-2.0,0
5089005,F,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,-19657,-2774,1,0,1,0,,2.0,-18.0,0
5050766,F,N,N,2,337500.0,Working,Secondary / secondary special,Married,House / apartment,-10990,-2174,1,0,0,0,Core staff,4.0,-8.0,0
5099764,F,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10112,-3170,1,1,1,0,Laborers,3.0,-16.0,0
5126286,M,N,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-21149,-11884,1,1,0,0,Laborers,2.0,-35.0,0
5041854,M,Y,N,0,112500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21990,365243,1,0,1,0,,2.0,-36.0,0
5023040,F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20950,365243,1,0,0,0,,1.0,-15.0,0
5116382,F,N,Y,1,120150.0,Working,Higher education,Married,House / apartment,-9287,-1432,1,1,0,0,Core staff,3.0,-26.0,0
5045724,M,N,N,1,216000.0,Commercial associate,Higher education,Separated,House / apartment,-10776,-1174,1,0,0,0,Laborers,2.0,-40.0,0
5041259,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23015,365243,1,0,0,0,,2.0,-15.0,0
5067803,F,N,Y,0,135000.0,Commercial associate,Higher education,Single / not married,House / apartment,-19392,-121,1,0,1,0,,1.0,-14.0,0
5149336,F,Y,Y,0,292500.0,Commercial associate,Higher education,Single / not married,House / apartment,-16930,-8995,1,0,0,0,High skill tech staff,1.0,-27.0,0
5021873,M,Y,N,0,171000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-9545,-156,1,0,0,0,Laborers,1.0,-1.0,0
